No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara
1,CG,43,42,SD,SD,t.a,Penjual,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
2,CT,27,26,SD,SD,Buruh Harian,Buruh Harian,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
3,CG,29,44,S1,S1,Karyawan,t.a,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
4,CG,39,39,SMA,SMP,t.a,Petani,17,0,Ekonomi,Cerai
5,CG,23,33,D3,SMA,t.a,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
6,CT,50,44,S1,SMA,Pengusaha CV,PNS,18,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
7,CG,23,33,SD,SD,t.a,Buruh Harian,7,0,Mabuk,Cerai
8,CG,22,26,SMA,SD,t.a,Supir,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
9,CG,25,28,SMP,SMP,Karyawan,Karyawan,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
10,CG,26,32,D3,SMA,Karyawan,PNS,2,0,Meninggalkan Salah Satu Pihak,Cerai
11,CT,52,51,SD,SD,t.a,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
12,CT,28,33,S1,S1,t.a,t.a,3,1,Kawin Paksa,Cerai
13,CG,27,28,SD,SD,t.a,Tukang Ojek,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
14,CG,46,53,SMA,SMP,t.a,Pensiunan,23,2,Ekonomi,Cerai
15,CG,38,35,SD,SD,Petani,Petani,16,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
16,CG,45,40,SD,SMP,t.a,Petani,8,2,KDRT,Cerai
