No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara,,,,,
1,CG,30,34,SLTP,SLTP,t.a,Supir,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
2,CG,39,39,SMA,SMP,Karyawan,t.a,10,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
3,CG,23,24,D III,SMA,Bidan,Sales,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
4,CT,46,22,SD,SD,Buruh Harian,t.a,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
5,CG,24,31,SMA,SMA,t.a,Buruh Harian,6,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
6,CT,30,28,SMA,SMA,Karyawan,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
7,CT,51,55,tdk,tdk,Wiraswasta,PNS,19,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
8,CG,56,61,S1,SMA,PNS,Pensiunan,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
9,CG,41,51,SMP,SD,t.a,Nelayan,6,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
10,CG,32,37,SLTA,SLTA,t.a,bengkel motor,12,3,Meninggalkan Salah Satu Pihak,Cerai,,,,,
11,CG,31,35,SMP,SD,t.a,Petani,15,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
12,CG,50,54,S1,S1,Pegawai Kontrak,Lembaga Swadaya,25,4,Meninggalkan Salah Satu Pihak,Cerai,,,,,
13,CT,29,30,S1,S1,Honorer,Swasta,4,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
14,CG,41,41,SMP,SMA,t.a,Supir,12,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
15,CG,25,33,SMP,SMP,t.a,Petani,7,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
16,CG,27,27,S1,SMA,Staf Admin,Karyawan,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
17,CG,50,54,SMA,SMA,t.a,Karyawan,29,3,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
18,CG,39,41,SMP,SD,Pedagang,Buruh Bangunan,17,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
19,CG,34,27,SD,SMA,t.a,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
20,CG,38,58,SD,SD,t.a,t.a,12,3,Meninggalkan Salah Satu Pihak,Cerai,,,,,
21,CG,34,38,D III,S1,Karyawan,Honorer,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
22,CG,42,49,SMA,SD,t.a,Buruh Harian,16,16,Meninggalkan Salah Satu Pihak,Cerai,,,,,
23,CG,32,42,SMA,SMA,Honorer,Penjual Barang Campuran,12,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
24,CT,28,25,SD,SD,Petani,t.a,7,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
25,CG,41,39,SMK,STM,Karyawan,t.a,11,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
26,CG,27,26,SMA,SMA,Penjual,t.a,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
27,CG,23,31,SD,SD,Karyawan,Nelayan,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
28,CG,30,34,SMA,SMA,t.a,Supir,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
29,CG,39,43,D3,SD,PNS,t.a,21,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
30,CT,36,31,SMA,SD,Security,t.a,15,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
31,CG,41,48,SD,SMP,Penjual,t.a,24,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
32,CG,26,33,SMA,SMP,Karyawan,t.a,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
33,CG,25,27,SMP,SMA,Karyawan,Karyawan,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
34,CG,22,31,SMA,SMA,t.a,Karyawan,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
35,CG,30,37,SMP,SD,Karyawan,Petani,7,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
36,CG,28,51,SD,SMK,Karyawan,Buruh Bangunan,13,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
37,CG,21,25,SD,SD,t.a,Buruh Harian,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
38,CG,21,30,SD,SD,Karyawan,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
39,CG,40,48,SMP,SD,t.a,Buruh Harian,27,4,Meninggalkan Salah Satu Pihak,Cerai,,,,,
40,CG,23,30,SMA,SMP,t.a,Buruh Bangunan,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
41,CG,41,46,SD,SD,Juru Masak,Buruh Harian,15,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
42,CG,33,34,SMA,SMA,Penjual,t.a,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
43,CG,24,29,SMA,SMP,t.a,Supir,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
44,CG,23,31,SD,SMP,t.a,Buruh Bangunan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
45,CG,32,37,S1,SMA,Honorer,Karyawan,12,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
46,CG,29,29,SD,SMA,t.a,Supir,8,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
47,CG,37,40,SD,SD,Penjual,Petani,12,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
48,CT,37,35,SD,SD,Petani,t.a,15,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
49,CG,29,40,S1,SMA,Honorer,t.a,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
50,CG,43,42,SMP,SD,Karyawan,Petani,22,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
51,CG,33,34,SMA,SMA,t.a,Pengemudi Grab,14,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
52,CG,54,51,S1,SMA,PNS,Pemborong,31,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
53,CG,33,32,S1,SMA,Honorer,Petani Tambak,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
54,CG,38,45,SMK,SMK,t.a,Penjual,17,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
55,CG,44,32,SMA,SMA,t.a,Penjual,6,0,KDRT,Tidak Cerai,,,,,
56,CG,24,27,SMA,SMP,Karyawan,t.a,6,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
57,CT,40,33,SMK,SMK,Ojek Online,t.a,9,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
58,CG,31,36,SD,SD,t.a,Pengemudi Bentor,10,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
59,CG,28,28,D3,SMA,Honorer,Karyawan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
